"sport","height_converted","weight","age","female","color","symbol","height"
"track and field",63,112,24.5369863013699,1,"#E41A1C","19",63
"track and field",68,150,30.0575342465753,1,"#E41A1C","19",68
"track and field",63,118,23.5041095890411,1,"#E41A1C","19",63
"track and field",65,108,31.9506849315068,1,"#E41A1C","19",65
"track and field",64,110,26.3945205479452,1,"#E41A1C","19",64
"track and field",73,280,27.0520547945205,1,"#E41A1C","19",73
"track and field",61,96,33.0520547945206,1,"#E41A1C","19",61
"track and field",69,132,32.586301369863,1,"#E41A1C","19",69
"track and field",68,170,22.613698630137,1,"#E41A1C","19",68
"track and field",67,124,28.9287671232877,1,"#E41A1C","19",67
"track and field",67,151,27.8109589041096,1,"#E41A1C","19",67
"track and field",69,132,17.0082191780822,1,"#E41A1C","19",69
"track and field",65,114,29.8712328767123,1,"#E41A1C","19",65
"track and field",62,110,27.3972602739726,1,"#E41A1C","19",62
"track and field",65,110,30.1397260273973,1,"#E41A1C","19",65
"track and field",69,140,29.372602739726,1,"#E41A1C","19",69
"track and field",68,137,24.0931506849315,1,"#E41A1C","19",68
"track and field",68,122,26.5095890410959,1,"#E41A1C","19",68
"track and field",69,146,27.5643835616438,1,"#E41A1C","19",69
"track and field",68,130,22.4082191780822,1,"#E41A1C","19",68
"track and field",65,135,20.4328767123288,1,"#E41A1C","19",65
"track and field",68,132,23.7232876712329,1,"#E41A1C","19",68
"track and field",68,220,23.1753424657534,1,"#E41A1C","19",68
"track and field",69,135,23.7232876712329,1,"#E41A1C","19",69
"track and field",68,136,29.9260273972603,1,"#E41A1C","19",68
"track and field",65,130,24.9835616438356,1,"#E41A1C","19",65
"track and field",65,115,31.8986301369863,1,"#E41A1C","19",65
"track and field",65,240,20.2383561643836,1,"#E41A1C","19",65
"track and field",65,118,29.972602739726,1,"#E41A1C","19",65
"track and field",70,130,23.1753424657534,1,"#E41A1C","19",70
"track and field",69,142,21.2301369863014,1,"#E41A1C","19",69
"track and field",72,145,34.5205479452055,1,"#E41A1C","19",72
"track and field",72,280,21.9643835616438,1,"#E41A1C","19",72
"track and field",69,135,19.9534246575342,1,"#E41A1C","19",69
"track and field",66,130,19.7205479452055,1,"#E41A1C","19",66
"track and field",63,120,23.3643835616438,1,"#E41A1C","19",63
"track and field",70,148,21.158904109589,1,"#E41A1C","19",70
"track and field",68,135,22.2602739726027,1,"#E41A1C","19",68
"track and field",72,185,30.3424657534247,1,"#E41A1C","19",72
"triathlon",69,142,30.6465753424658,0,"#377EB8","20",69
"triathlon",69,145,27.2027397260274,0,"#377EB8","20",69
"triathlon",72,155,23.6575342465753,0,"#377EB8","20",72
"triathlon",70,130,30.3013698630137,1,"#377EB8","20",70
"triathlon",67,133,34.7123287671233,1,"#377EB8","20",67
"triathlon",68,NA,27.1753424657534,1,"#377EB8","20",68
"volleyball",81,205,36.5506849315069,0,"#4DAF4A","20",81
"volleyball",79,210,40.5232876712329,0,"#4DAF4A","20",79
"volleyball",73,185,36.8958904109589,0,"#4DAF4A","20",73
"volleyball",78,195,36.3178082191781,0,"#4DAF4A","20",78
"volleyball",73,166,34.4027397260274,1,"#4DAF4A","20",73
