"Age","Height","Weight","Female","Gold","Silver","Bronze","Total","Sport","Event","Color","Symbol","kfold1","kfold2","kfold3","kfold4","kfold5","kfold6","kfold7","kfold8","kfold9","kfold10"
35,171,62,1,0,0,0,0,"Shooting","Women's 10m Air Pistol","#FF7F00","17",7,1,9,5,4,9,10,2,6,2
25,184,78,0,0,0,0,0,"Athletics","Men's 110m Hurdles","#377EB8","15",7,5,9,5,4,2,6,8,5,1
23,197,96,0,0,0,0,0,"Rowing","Men's Quadruple Sculls","#4DAF4A","17",6,8,5,2,8,9,6,9,1,4
21,186,78,1,1,0,0,1,"Rowing","Women's Quadruple Sculls","#4DAF4A","17",7,8,4,5,10,2,9,5,5,8
41,165,56,1,0,0,0,0,"Shooting","Women's 10m Air Rifle, Women's 50m Rifle 3 Positions","#FF7F00","17",9,10,8,7,1,3,8,3,1,7
29,174,73,0,0,0,0,0,"Judo","Men's -73kg","#E41A1C","17",4,4,5,4,10,1,7,9,3,9
24,153,46,1,0,0,0,0,"Athletics","Women's 20km Race Walk","#377EB8","15",5,10,2,10,3,9,6,1,1,9
31,170,59,1,0,0,0,0,"Rowing","Women's Single Sculls","#4DAF4A","17",2,1,10,1,9,8,8,8,8,9
24,182,78,0,0,0,0,0,"Football","Men's Football","#FF7F00","16",1,4,2,3,10,5,5,9,1,6
28,188,85,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",10,4,4,1,6,1,1,2,3,4
23,199,104,0,0,0,0,0,"Rowing","Men's Pair","#4DAF4A","17",1,3,8,9,9,9,1,2,2,6
20,169,67,1,0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 4x100m Freestyle Relay","#FFFF33","17",7,6,8,4,3,5,9,6,3,3
25,166,64,0,0,0,0,0,"Judo","Men's -66kg","#E41A1C","17",8,10,1,6,8,7,4,9,1,8
27,168,55,1,0,0,0,0,"Athletics","Women's 100m Hurdles","#377EB8","15",1,1,7,5,6,9,3,6,8,6
35,186,79,0,0,0,0,0,"Canoe Slalom","Men's Kayak (K1)","#FFFF33","15",2,4,1,2,4,10,10,10,9,5
34,170,63,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",10,6,5,8,4,1,6,2,4,6
23,192,94,0,0,0,0,0,"Water Polo","Men's Water Polo","#984EA3","18",8,6,7,7,6,8,4,7,10,5
29,187,90,0,0,0,0,0,"Athletics","Men's Decathlon","#377EB8","15",7,10,4,2,3,5,3,5,2,1
32,180,68,1,0,0,0,0,"Water Polo","Women's Water Polo","#984EA3","18",2,8,3,5,4,6,2,3,9,3
31,174,61,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",2,9,7,4,4,9,7,10,5,8
25,181,80,0,0,0,0,0,"Shooting","Men's Trap","#FF7F00","17",2,4,1,8,3,8,10,8,4,6
26,168,55,0,0,0,0,0,"Cycling","Men's Individual Time Trial, Men's Road Race","#E41A1C","16",10,4,6,3,4,8,10,7,3,8
19,164,60,1,0,0,0,0,"Football","Women's Football","#FF7F00","16",3,5,6,8,1,1,4,5,2,3
25,170,68,1,0,0,0,0,"Sailing","Women's Laser Radial","#984EA3","17",9,3,8,4,10,6,1,7,10,4
26,182,88,0,0,0,0,0,"Cycling","Men's BMX","#E41A1C","16",10,2,4,10,1,2,7,5,1,3
25,162,59,1,0,0,0,0,"Tennis","Women's Doubles","#E41A1C","18",1,5,5,5,10,5,2,7,7,5
30,191,87,0,0,0,0,0,"Swimming","Men's 4x100m Medley Relay","#FFFF33","17",1,9,1,5,4,5,1,7,4,6
28,170,52,1,0,0,0,0,"Athletics","Women's Marathon","#377EB8","15",10,8,9,6,10,8,9,10,2,8
23,177,99,1,0,0,0,0,"Athletics","Women's Shot Put","#377EB8","15",2,10,10,3,5,4,3,8,1,7
22,184,84,0,0,0,0,0,"Athletics","Men's Decathlon","#377EB8","15",10,1,10,10,8,7,10,3,7,7
21,202,95,0,0,0,0,0,"Canoe Sprint","Men's Kayak Single (K1) 200m","#A65628","15",6,8,9,2,2,3,9,3,6,6
20,185,84,0,0,0,0,0,"Swimming","Men's 100m Freestyle","#FFFF33","17",5,6,1,3,3,9,7,9,10,10
26,170,81,0,0,0,0,0,"Archery","Men's Individual","#E41A1C","15",4,5,7,3,1,9,4,8,8,7
28,183,75,0,0,0,0,0,"Athletics","Men's 4 x 400m Relay","#377EB8","15",6,10,3,1,3,8,4,7,4,7
24,164,58,1,0,0,0,0,"Triathlon","Women's Triathlon","#377EB8","18",1,3,5,1,6,8,8,10,6,8
25,180,70,0,0,0,0,0,"Cycling","Men's Team Pursuit","#E41A1C","16",3,7,2,6,6,2,10,10,8,5
27,188,100,0,0,0,0,0,"Judo","Men's -100kg","#E41A1C","17",8,3,5,3,3,3,2,2,7,3
26,165,63,1,0,0,0,0,"Wrestling","Women's 63kg Freestyle","#FFFF33","18",4,9,3,9,6,9,2,5,6,6
28,210,110,0,0,0,0,0,"Volleyball","Men's Volleyball","#4DAF4A","18",5,1,9,2,10,9,5,4,5,4
21,160,55,1,0,0,0,0,"Athletics","Women's High Jump","#377EB8","15",8,7,3,7,10,8,4,3,2,7
